Filename,Duration (ms),FPS,Width,Height,Aspect Ratio,Original Filesize (KB),Output Filesize (KB),Saved Percent,Time to Process,Time,Date,Username 
H:\_PSP\PSP\VIDEO\S09E24 - Lost Our Lisa [720p]_q26_JMPSPMC.MP4,1364031,23.976,1280,720,1.778,278170,225356,81,44secs,13:33:48.79,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S09E25 - Natural Born Kissers [720p]_q26_JMPSPMC.MP4,1364782,23.976,1280,720,1.778,246618,193076,78,42secs,13:34:34.34,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E01 - Bullocks to Stan_q28_JMPSPMC.MP4,1314815,23.976,720,540,1.333,63179,10055,15,38secs, 9:13:40.24,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E02 - A Smith in the Hand_q28_JMPSPMC.MP4,1315292,24.000,720,540,1.333,66125,14306,21,39secs, 9:14:22.96,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E03 - All About Steve_q28_JMPSPMC.MP4,1315000,24.000,720,540,1.333,73870,20911,28,39secs, 9:15:05.86,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E04 - Con Heir_q28_JMPSPMC.MP4,1314731,23.976,720,540,1.333,61373,9589,15,40secs, 9:15:49.10,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E05 - Stan of Arabia (Part 1)_q28_JMPSPMC.MP4,1315205,24.327,720,540,1.333,67957,15504,22,39secs, 9:16:31.32,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E06 - Stan of Arabia (Part 2)_q28_JMPSPMC.MP4,1313552,24.130,720,540,1.333,74366,21810,29,39secs, 9:17:13.53,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E07 - Stannie Get Your Gun_q28_JMPSPMC.MP4,1312780,29.970,716,540,1.326,69912,17903,25,41secs, 9:17:58.35,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E08 - Star Trek_q28_JMPSPMC.MP4,1313447,29.970,716,540,1.326,63613,11414,17,41secs, 9:18:42.21,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E09 - Not Particularly Desperate Housewives_q28_JMPSPMC.MP4,1313447,29.970,716,540,1.326,66607,14499,21,41secs, 9:19:26.92,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E10 - Tears of a Clooney_q28_JMPSPMC.MP4,1314448,29.970,716,540,1.326,68582,16532,24,41secs, 9:20:11.10,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E17 - Rough Trade_q31_JMPSPMC.MP4,1312746,29.970,718,480,1.329,89139,37280,41,43secs, 9:20:57.54,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E18 - Finances With Wolves_q31_JMPSPMC.MP4,1313080,29.970,718,480,1.329,95083,43091,45,44secs, 9:21:44.78,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E19 - It's Good to be Queen_q31_JMPSPMC.MP4,1314081,29.970,718,480,1.329,88579,36440,41,42secs, 9:22:30.55,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E20 - Roger 'n Me_q31_JMPSPMC.MP4,1313413,29.970,716,480,1.325,90857,39231,43,43secs, 9:23:17.02,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E21 - Helping Handis_q31_JMPSPMC.MP4,1312079,29.970,716,480,1.325,92035,40374,43,43secs, 9:24:03.40,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S02E22 - With Friends Like Steve's_q31_JMPSPMC.MP4,1312746,29.970,716,480,1.325,95365,43517,45,44secs, 9:24:51.49,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E01 - Camp Refoogee_q28_JMPSPMC.MP4,1313413,29.970,716,480,1.325,105236,53512,50,43secs, 9:35:49.28,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E02 - The American Dad After School Special_q28_JMPSPMC.MP4,1312079,29.970,716,480,1.325,96370,44293,45,43secs, 9:36:35.85,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E03 - Failure is Not a Factory-installed Option_q28_JMPSPMC.MP4,1313080,29.970,716,480,1.325,90475,37502,41,43secs, 9:37:22.26,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E04 - Lincoln Lover_q28_JMPSPMC.MP4,1314414,29.970,716,480,1.325,101596,49482,48,43secs, 9:38:08.84,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E05 - Dungeons and Wagons_q28_JMPSPMC.MP4,1313413,29.970,716,480,1.325,101485,49654,48,42secs, 9:38:54.46,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E06 - Iced, Iced Babies_q28_JMPSPMC.MP4,1313413,29.970,716,480,1.325,98998,46792,47,43secs, 9:39:41.27,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E07 - Of Ice and Men_q28_JMPSPMC.MP4,1313380,29.970,716,480,1.325,103445,50902,49,42secs, 9:40:27.36,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E08 - Irregarding Steve_q28_JMPSPMC.MP4,1313080,29.970,716,480,1.325,97340,45107,46,42secs, 9:41:13.35,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E09 - The Best Christmas Story Never Told_q28_JMPSPMC.MP4,1313413,29.970,716,480,1.325,102970,51124,49,42secs, 9:41:58.91,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E10 - Bush Comes to Dinner_q28_JMPSPMC.MP4,1259600,25.000,720,576,1.250,126554,75786,59,42secs, 9:42:44.03,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E11 - American Dream Factory_q28_JMPSPMC.MP4,1258000,25.000,720,576,1.333,105773,53925,50,38secs, 9:43:25.56,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E12 - A.T. The Abusive Terrestrial_q28_JMPSPMC.MP4,1260840,25.000,720,576,1.333,95570,45824,47,39secs, 9:44:08.31,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E13 - Black Mystery Month_q28_JMPSPMC.MP4,1261200,25.000,720,576,1.333,95771,46325,48,38secs, 9:44:50.36,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E14 - An Apocalypse to Remember_q28_JMPSPMC.MP4,1261200,25.000,720,576,1.333,99455,48795,49,39secs, 9:45:33.09,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E15 - Four Little Words_q28_JMPSPMC.MP4,1260840,25.000,720,576,1.333,96224,46621,48,38secs, 9:46:14.70,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E16 - When a Stan Loves a Woman_q28_JMPSPMC.MP4,1300640,25.000,720,576,1.333,98510,48015,48,39secs, 9:46:56.95,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E17 - I Can't Stan You_q28_JMPSPMC.MP4,1260640,25.000,720,576,1.333,95627,46207,48,39secs, 9:47:39.60,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E18 - The Magnificent Steven_q28_JMPSPMC.MP4,1260640,25.000,720,576,1.333,109511,60436,55,38secs, 9:48:21.11,Sun 11/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S03E19 - Joint Custody_q28_JMPSPMC.MP4,1260640,25.000,720,576,1.333,93778,44349,47,39secs, 9:49:03.29,Sun 11/09/2022,Jenkins 
